transaction,Announce,Acquiror,Ticker,CEO,Target Name,Media New,2nd highest comp
84,2010,"M&T Bank Corp,Buffalo,New York",MTB,Robert G. Wilmers,"Wilmington Trust Corp,DE",,
28,2004,Procter & Gamble Co,PG,Alan George Lafley,Wella AG,,
136,2006,"Bank of New York Co Inc,NY",BK,Thomas A. Renyi,"Mellon Financial,Pittsburgh,PA",,
18,2008,Wal-Mart Stores Inc,WMT,"H. Lee Scott, Jr.",Distribucion y Servicio SA,,
107,2004,PNC Finl Svcs Grp Inc,PNC,James E. Rohr,"Riggs Natl Corp,Washington,DC",,
7,2001,Anadarko Petroleum Corp,APC,"Robert J. Allison, Jr.",Berkley Petroleum Corp,,
91,2007,Citigroup Inc,C,"Charles Prince, III",BISYS Group Inc,,
153,1998,AT&T Corp,T,C. Michael Armstrong,Teleport Communications Group,,
121,1998,"KeyCorp,Cleveland,Ohio",KEY,Robert W. Gillespie,McDonald & Co Investments Inc,,
154,2005,"Wachovia Corp,Charlotte,NC",WB,G. Kennedy Thompson,"Westcorp,Irvine,CA",,
55,2004,Citigroup Inc,C,"Charles Prince, III",Koram Bank,,
81,2005,Sprint Nextel Corp,S,Gary D. Forsee,US Unwired Inc,,
148,1999,Motorola Inc,MSI,Christopher B. Galvin,General Instrument Corp,,
134,1996,Lockheed Martin Corp,LMT,Norman R. Augustine,Loral Corp,,
142,1999,Cisco Systems Inc,CSCO,John T. Chambers,Aironet Wireless Communication,,
51,2000,Citigroup Inc,C,Sanford I. Weill,Bank Handlowy SA,,
155,2000,Gannett Co Inc,GCI,Douglas H. McCorkindale,Central Newspapers Inc,,
149,2005,Lincoln National Corp,LNC,Jon A. Boscia,Jefferson-Pilot Corp,,
47,1995,International Paper Co,IP,John A. Georges,Carter Holt Harvey Ltd,,
150,2001,Berkshire Hathaway Inc,BRK,Warren E. Buffett,XTRA Corp,,
109,1997,Berkshire Hathaway Inc,BRK,Warren E. Buffett,International Dairy Queen Inc,,
122,2005,News Corp,NWS,Rupert Murdoch,Fox Entertainment Group Inc,,
93,2001,Hewlett-Packard Co,HPQ,Carleton S. Fiorina,Compaq Computer Corp,,
139,2005,Cisco Systems Inc,CSCO,John T. Chambers,Scientific Atlanta Inc,,
127,1999,Wells Fargo & Co,WFC,Richard M. Kovacevich,Natl Bancorp Of Alaska Inc,,
54,2010,Wal-Mart Stores Inc,WMT,Michael Terry Duke,Massmart Holdings Ltd,,
56,2008,eBay Inc,EBAY,John J. Donahoe,GMarket Inc,,
156,2006,"Wachovia Corp,Charlotte,NC",WB,G. Kennedy Thompson,"Golden West Financial Corp,CA",,
46,2001,Hewlett-Packard Co,HPQ,Carleton S. Fiorina,Indigo NV,,
1,2007,ProLogis,PLD,Jeffrey Howard Schwartz,Macquarie Prologis Trust,,
145,1997,Procter & Gamble Co,PG,John E. Pepper,Tambrands Inc,,
97,2009,Baker Hughes Inc,BHI,Chadwick C. Deaton,BJ Services Co,,
96,2006,"Washington Mutual,Seattle,WA",WM,David P. Steiner,"Coml Capital Bancorp Inc,CA",,
131,2004,"Natl City Corp,Cleveland,Ohio",NCC,David A. Daberko,Provident Financial Group Inc,,
123,2006,AT&T Inc,T,"Edward E. Whitacre, Jr.",BellSouth Corp,,
67,1995,Merrill Lynch & Co Inc,MER,Daniel P. Tully,Smith New Court PLC,,
14,2008,Philip Morris Intl Inc,PM,"Louis C. Camilleri, BA",Rothmans Inc,,
112,1997,American Electric Power Co Inc,AEP,"E. Linn Draper, Jr.",Central & South West Corp,,
157,2007,Wachovia Corp,WB,G. Kennedy Thompson,AG Edwards Inc,,
133,2007,UnitedHealth Group Inc,UNH,Stephen J. Hemsley,Sierra Health Services Inc,,
128,2003,Lehman Brothers Holdings Inc,LEH,"R. S. Fuld, Jr.",Neuberger Berman Inc,,
124,1998,Johnson & Johnson,JNJ,Ralph S. Larsen,Depuy Inc(Corange Ltd),,
68,1998,Enron Corp,ENE,Kenneth L. Lay ,Wessex Water PLC,,
119,2007,Wells Fargo & Co,WFC,Richard M. Kovacevich,"Greater Bay Bancorp,Palo Alto",,
132,2002,Citigroup Inc,C,Sanford I. Weill,"Golden State Bancorp Inc,CA",,
117,1996,Enron Corp,ENE,Kenneth L. Lay,Portland General Corp,,
160,2000,PepsiCo Inc,PEP,Roger A. Enrico,Quaker Oats Co,,
144,2005,Procter & Gamble Co,PG,Alan George Lafley,Gillette Co,,
140,1996,Duke Power Co,DUK,William H. Grigg,PanEnergy Corp,,
152,1995,Berkshire Hathaway Inc,BRK,Warren E. Buffett,GEICO Corp(Berkshire Hathaway),,
146,2007,Cisco Systems Inc,CSCO,John T. Chambers,WebEx Communications Inc,,
39,2011,ProLogis,PLD,Hamid R. Moghadam,PEPR,,
22,2002,Microsoft Corp,MSFT,Steven A. Ballmer,Navision A/S,,
125,2004,"SunTrust Banks Inc,Atlanta,GA",STI,L. Phillip Humann,"Natl Commerce Finl Corp,TN",,
113,1999,Allstate Corp,ALL,Edward M. Liddy,American Heritage Life Invt,,
66,2008,Aon Corp,AON,Gregory C. Case,Benfield Group Ltd,,
15,2007,Marathon Oil Corp,MRO,"Clarence P. Cazalot, Jr.",Western Oil Sands Inc,,
62,2003,United Technologies Corp,UTX,George David,Chubb PLC,,
